model,n_leads,mean_auroc,std_auroc,min_auroc,max_auroc
LoRA+RLM+multi-SNR (iii),1,0.9099,0.0347,0.8510,0.9550
LoRA+RLM+multi-SNR (iii),2,0.9415,0.0090,0.9142,0.9525
LoRA+RLM+multi-SNR (iii),3,0.9460,0.0037,0.9367,0.9538
LoRA+RLM+multi-SNR (iii),4,0.9459,0.0024,0.9405,0.9496
LoRA+RLM+multi-SNR (iii),5,0.9475,0.0022,0.9434,0.9522
LoRA+RLM+multi-SNR (iii),6,0.9470,0.0020,0.9433,0.9506
LoRA+RLM+multi-SNR (iii),7,0.9473,0.0021,0.9434,0.9510
LoRA+RLM+multi-SNR (iii),8,0.9469,0.0015,0.9445,0.9496
LoRA+RLM+multi-SNR (iii),9,0.9466,0.0013,0.9441,0.9494
LoRA+RLM+multi-SNR (iii),10,0.9469,0.0012,0.9447,0.9490
LoRA+RLM+multi-SNR (iii),11,0.9468,0.0008,0.9447,0.9479
LoRA+RLM+multi-SNR (iii),12,0.9457,0.0000,0.9457,0.9457
P1 multitask a07,1,0.8907,0.0208,0.8536,0.9127
P1 multitask a07,2,0.9106,0.0052,0.8966,0.9195
P1 multitask a07,3,0.9140,0.0028,0.9078,0.9177
P1 multitask a07,4,0.9142,0.0016,0.9106,0.9168
P1 multitask a07,5,0.9148,0.0014,0.9115,0.9174
P1 multitask a07,6,0.9146,0.0010,0.9124,0.9170
P1 multitask a07,7,0.9152,0.0013,0.9133,0.9189
P1 multitask a07,8,0.9145,0.0010,0.9131,0.9165
P1 multitask a07,9,0.9147,0.0008,0.9126,0.9165
P1 multitask a07,10,0.9147,0.0012,0.9122,0.9167
P1 multitask a07,11,0.9144,0.0006,0.9135,0.9154
P1 multitask a07,12,0.9142,0.0000,0.9142,0.9142
